FILE                	CCD-TEMP         	
FLATLIN_0.15s-1.fits	-9.78781726781157	
FLATLIN_0.15s.fits  	-9.78781726781157	
FLATLIN_0.3s-1.fits 	-10.2030840367361	
FLATLIN_0.3s.fits   	-10.2030840367361	
FLATLIN_0.4s-1.fits 	-9.78781726781157	
FLATLIN_0.4s.fits   	-10.2030840367361	
FLATLIN_0.5s-1.fits 	-10.2030840367361	
FLATLIN_0.5s.fits   	-9.78781726781157	
FLATLIN_0.7s-1.fits 	-9.78781726781157	
FLATLIN_0.7s.fits   	-10.2030840367361	
FLATLIN_0.85s-1.fits	-9.78781726781157	
FLATLIN_0.85s.fits  	-9.78781726781157	
FLATLIN_0.8s-1.fits 	-9.78781726781157	
FLATLIN_0.8s.fits   	-10.2030840367361	
FLATLIN_0.95s-1.fits	-10.2030840367361	
FLATLIN_0.95s.fits  	-9.78781726781157	
FLATLIN_0.9s-1.fits 	-10.2030840367361	
FLATLIN_0.9s.fits   	-9.78781726781157	
FLATLIN_1.05s-1.fits	-9.78781726781157	
FLATLIN_1.05s.fits  	-10.2030840367361	
FLATLIN_1.0s-1.fits 	-9.78781726781157	
FLATLIN_1.0s.fits   	-9.78781726781157	
FLATLIN_1.15s-1.fits	-10.2030840367361	
FLATLIN_1.15s.fits  	-10.2030840367361	
FLATLIN_1.1s-1.fits 	-10.2030840367361	
FLATLIN_1.1s.fits   	-9.78781726781157	
FLATLIN_1.25s-1.fits	-10.2030840367361	
FLATLIN_1.25s.fits  	-10.2030840367361	
FLATLIN_1.2s-1.fits 	-10.2030840367361	
FLATLIN_1.2s.fits   	-10.2030840367361	
FLATLIN_1.3s-1.fits 	-9.78781726781157	
FLATLIN_1.3s.fits   	-9.78781726781157	
