-1.000000000000000000e+01,1.684779965193689000e-02,1.269554062881623948e-03,1.940688392283997928e+03,1.040292695359799763e-01
-2.000000000000000000e+00,5.015037537303877746e-02,2.732783797216456392e-03,1.937147684232943220e+03,2.215571515906506750e-01
-4.000000000000000000e+00,3.543539224708549401e-02,2.041625005824727022e-03,1.937848640414399824e+03,1.545894815501997477e-01
-6.000000000000000000e+00,2.961729156914879799e-02,3.495265682750061352e-03,1.938393786353476571e+03,2.685423894569249903e-01
-8.000000000000000000e+00,2.428803319617408446e-02,5.075526575199574078e-03,1.939165547336523559e+03,4.110977532419358704e-01
0.000000000000000000e+00,6.457204349358899864e-02,3.885796198479063435e-03,1.936667253196211504e+03,2.936533961133885873e-01
2.000000000000000000e+00,8.548139967939435979e-02,3.612682801408799438e-03,1.936537781363250133e+03,2.824594458800521179e-01
4.000000000000000000e+00,1.133456610452595464e-01,6.358950968410631566e-03,1.936312065008444279e+03,5.006650819852384027e-01
6.000000000000000000e+00,1.500942080330365247e-01,7.632634209557352493e-04,1.937051877647401398e+03,6.029709263969711130e-02
8.000000000000000000e+00,2.077367090487558798e-01,4.807279607032157853e-04,1.937653075946190256e+03,3.752678277569457266e-02
1.000000000000000000e+01,2.280189181620297656e-01,2.917926156179012978e-02,1.943727244588859321e+03,2.229938602024542416e+00
