# CFD count rate, 4s, with source
# L-threshold, L-count, R-threshold, R-count
0, 246907, 5, 118378
10, 121050, 10, 180931
20, 112622, 20, 168137
30, 102328, 30, 126170
40, 93151, 40, 122047
60, 77150, 60, 116417
100, 42951, 100, 105072
150, 1388, 150, 85564
200, 478, 200, 0
300, 2, 300, 0
400, 1, 400, 0
