#Module	Layer	Straw	cut on	cut off	Calib status
1	3	22	99	200	4
1	3	23	70.0841	200	4
1	3	24	0	200	2
1	3	25	0	200	2
1	3	26	0	200	2
1	3	27	0	200	2
1	3	28	0	200	2
1	3	29	0	200	2
1	3	30	0	200	2
1	3	31	0	200	2
1	3	32	0	200	2
1	3	33	0	200	2
1	3	34	0	200	2
1	3	35	0	200	2
1	3	36	0	200	2
1	3	37	140.644	200	4
1	3	38	0	200	3
1	3	39	63.5929	200	4
1	3	40	86.666	200	4
1	3	41	97.5285	200	4
1	3	42	0	200	3
1	3	43	91.2616	200	4
1	3	44	114.983	200	4
1	3	45	74.4667	200	4
1	3	46	100.138	200	4
1	3	47	86.9601	200	4
1	3	48	95.3573	200	4
1	3	49	64.7633	200	4
1	3	50	98.4017	200	4
1	3	51	69.41	200	4
1	3	52	91.9591	200	4
1	3	53	81.9387	200	4
1	3	54	0	200	2
1	3	55	0	200	2
1	3	56	97.8513	200	4
1	3	57	78.797	200	4
1	3	58	85.3659	200	4
1	3	59	82.727	200	4
1	3	60	0	200	2
1	3	61	93.5986	200	4
1	3	62	115.273	200	4
1	3	63	85.412	200	4
1	3	64	110.833	200	4
1	3	65	78.7933	200	4
1	3	66	88.9559	200	4
1	3	67	96.0892	200	4
1	3	68	112.745	200	4
1	3	69	82.713	200	4
1	3	70	95.2012	200	4
1	3	71	92.9536	200	4
1	3	72	98.1118	200	4
1	3	73	58.8907	200	4
1	3	74	0	200	2
1	3	75	0	200	2
1	3	76	0	200	2
1	3	77	0	200	2
1	3	78	114.142	200	4
1	3	79	72.8565	200	4
1	3	80	90.3392	200	4
1	3	81	93.3555	200	4
1	3	82	100.691	200	4
1	3	83	0	200	1
1	3	84	0	200	1
1	3	85	78.2251	200	4
1	3	86	105.321	200	4
1	3	87	80.5798	200	4
1	3	88	84.5414	200	4
2	1	1	0	200	2
2	1	2	0	200	2
2	1	3	68.275	200	4
2	1	4	63.7904	200	4
2	1	5	60.5895	200	4
2	1	6	0	200	2
2	1	7	0	200	2
2	1	8	65.6055	200	4
2	1	9	63.0128	200	4
2	1	10	0	200	2
2	1	11	65.925	200	4
2	1	12	55.3545	200	4
2	1	13	68.0792	200	4
2	1	14	59.6064	200	4
2	1	15	117.904	200	4
2	1	16	56.6401	200	4
2	1	17	65.0429	200	4
2	1	18	59.4818	200	4
2	1	19	65.8188	200	4
2	1	20	66.7862	200	4
2	1	21	67.2197	200	4
2	1	22	65.1418	200	4
2	1	23	65.4014	200	4
2	1	24	72.3786	200	4
2	1	25	68.3788	200	4
2	1	26	71.3003	200	4
2	1	27	59.9534	200	4
2	1	28	69.0915	200	4
2	1	29	67.1533	200	4
2	1	30	0	200	2
2	1	31	61.9101	200	4
2	1	32	51.8805	200	4
2	1	33	61.6054	200	4
2	1	34	69.5881	200	4
2	1	35	62.6086	200	4
2	1	36	61.7752	200	4
2	1	37	61.3169	200	4
2	1	38	67.573	200	4
2	1	39	63.0883	200	4
2	1	40	73.2489	200	4
2	1	41	58.8776	200	4
2	1	42	65.0543	200	4
2	1	43	64.5466	200	4
2	1	44	70.7575	200	4
2	1	45	51.6377	200	4
2	1	46	72.4736	200	4
2	1	47	72	200	4
2	1	48	67.8646	200	4
2	1	49	67.8943	200	4
2	1	50	64.3795	200	4
2	1	51	67.5127	200	4
2	1	52	64.0121	200	4
2	1	53	63.5389	200	4
2	1	54	72.0997	200	4
2	1	55	65.9792	200	4
2	1	56	75.5822	200	4
2	1	57	0	200	2
2	1	58	0	200	2
2	1	59	0	200	2
2	1	60	0	200	2
2	1	61	0	200	2
2	1	62	0	200	2
2	1	63	0	200	2
2	1	64	0	200	2
2	1	65	0	200	2
2	1	66	0	200	2
2	1	67	0	200	2
2	1	68	0	200	2
2	1	69	0	200	2
2	1	70	0	200	2
2	1	71	0	200	2
2	1	72	0	200	2
2	1	73	0	200	2
2	1	74	0	200	2
2	1	75	0	200	2
2	1	76	0	200	2
2	1	77	0	200	2
2	1	78	0	200	2
2	1	79	0	200	2
2	1	80	0	200	2
2	1	81	0	200	2
2	1	82	0	200	2
2	1	83	0	200	2
2	1	84	0	200	2
2	1	85	0	200	2
2	1	86	0	200	2
2	1	87	0	200	2
2	1	88	0	200	2
2	2	1	0	200	2
2	2	2	0	200	2
2	2	3	72.2609	200	4
2	2	4	37.5744	200	4
2	2	5	67.7661	200	4
2	2	6	54.2156	200	4
2	2	7	65.4687	200	4
2	2	8	57.4344	200	4
2	2	9	59.3163	200	4
2	2	10	54.8408	200	4
2	2	11	67.6278	200	4
2	2	12	54.4674	200	4
2	2	13	0	200	2
2	2	14	0	200	2
2	2	15	76	200	4
2	2	16	105.344	200	4
2	2	17	61.9094	200	4
2	2	18	69.0756	200	4
2	2	19	53.127	200	4
2	2	20	60.8277	200	4
2	2	21	66.8463	200	4
2	2	22	68.7496	200	4
2	2	23	67.5385	200	4
2	2	24	69.0981	200	4
2	2	25	76.0231	200	4
2	2	26	62.5745	200	4
2	2	27	63.2033	200	4
2	2	28	65.4918	200	4
2	2	29	72.8949	200	4
2	2	30	52.7449	200	4
2	2	31	74.142	200	4
2	2	32	68	200	4
2	2	33	80.4868	200	4
2	2	34	74.7718	200	4
2	2	35	80.1317	200	4
2	2	36	83.8213	200	4
2	2	37	85.8122	200	4
2	2	38	87.1327	200	4
2	2	39	73.5293	200	4
2	2	40	88.2215	200	4
2	2	41	80.9715	200	4
2	2	42	71.0742	200	4
2	2	43	63.3479	200	4
2	2	44	81.8957	200	4
2	2	45	77.1184	200	4
2	2	46	68.2933	200	4
2	2	47	72.3287	200	4
2	2	48	87.0174	200	4
2	2	49	0	200	2
2	2	50	71.0302	200	4
2	2	51	0	200	2
2	2	52	72.1487	200	4
2	2	53	0	200	2
2	2	54	77.5441	200	4
2	2	55	79.3138	200	4
2	2	56	69.2757	200	4
2	2	57	0	200	2
2	2	58	0	200	2
2	2	59	0	200	2
2	2	60	0	200	2
2	2	61	0	200	2
2	2	62	0	200	2
2	2	63	0	200	2
2	2	64	0	200	2
2	2	65	0	200	2
2	2	66	0	200	2
2	2	67	0	200	2
2	2	68	0	200	2
2	2	69	0	200	2
2	2	70	0	200	2
2	2	71	0	200	2
2	2	72	0	200	2
2	2	73	0	200	2
2	2	74	0	200	2
2	2	75	0	200	2
2	2	76	0	200	2
2	2	77	0	200	2
2	2	78	0	200	2
2	2	79	0	200	2
2	2	80	0	200	2
2	2	81	0	200	2
2	2	82	0	200	2
2	2	83	0	200	2
2	2	84	0	200	2
2	2	85	0	200	2
2	2	86	0	200	2
2	2	87	0	200	2
2	2	88	0	200	2
2	3	1	0	200	2
2	3	2	0	200	2
2	3	3	60.6303	200	4
2	3	4	92.9613	200	4
2	3	5	83	200	4
2	3	6	0	200	2
2	3	7	0	200	2
2	3	8	0	200	2
2	3	9	0	200	2
2	3	10	66.8034	200	4
2	3	11	0	200	2
2	3	12	63.1021	200	4
2	3	13	76.0531	200	4
2	3	14	91.9563	200	4
2	3	15	59.0933	200	4
2	3	16	83.2735	200	4
2	3	17	69.7241	200	4
2	3	18	104.418	200	4
2	3	19	69.4102	200	4
2	3	20	91.1507	200	4
2	3	21	75.2894	200	4
2	3	22	103.667	200	4
2	3	23	74.7623	200	4
2	3	24	92.2253	200	4
2	3	25	0	200	2
2	3	26	99.1159	200	4
2	3	27	74.4437	200	4
2	3	28	69.5485	200	4
2	3	29	64.6337	200	4
2	3	30	57.654	200	4
2	3	31	65.4213	200	4
2	3	32	83.2211	200	4
2	3	33	96.1314	200	4
2	3	34	0	200	2
2	3	35	89.3863	200	4
2	3	36	91.3232	200	4
2	3	37	115.799	200	4
2	3	38	103.477	200	4
2	3	39	84	200	4
2	3	40	96.224	200	4
2	3	41	99.6875	200	4
2	3	42	102.164	200	4
2	3	43	79.6005	200	4
2	3	44	107.861	200	4
2	3	45	92.9357	200	4
2	3	46	86.9161	200	4
2	3	47	87.1621	200	4
2	3	48	113.627	200	4
2	3	49	91.0712	200	4
2	3	50	87.9881	200	4
2	3	51	69.8505	200	4
2	3	52	91.3111	200	4
2	3	53	95.1246	200	4
2	3	54	112.551	200	4
2	3	55	93.2899	200	4
2	3	56	94.8596	200	4
2	3	57	0	200	2
2	3	58	0	200	2
2	3	59	0	200	2
2	3	60	0	200	2
2	3	61	0	200	2
2	3	62	0	200	2
2	3	63	0	200	2
2	3	64	0	200	2
2	3	65	0	200	2
2	3	66	0	200	2
2	3	67	0	200	2
2	3	68	0	200	2
2	3	69	0	200	2
2	3	70	0	200	2
2	3	71	0	200	2
2	3	72	0	200	2
2	3	73	0	200	2
2	3	74	0	200	2
2	3	75	0	200	2
2	3	76	0	200	2
2	3	77	0	200	2
2	3	78	0	200	2
2	3	79	0	200	2
2	3	80	0	200	2
2	3	81	0	200	2
2	3	82	0	200	2
2	3	83	0	200	2
2	3	84	0	200	2
2	3	85	0	200	2
2	3	86	0	200	2
2	3	87	0	200	2
2	3	88	0	200	2
3	1	1	0	200	2
3	1	2	0	200	2
3	1	3	0	200	1
3	1	4	0	200	1
3	1	5	80.085	200	4
3	1	6	0	200	1
3	1	7	69.2024	200	4
3	1	8	69.0314	200	4
3	1	9	75	200	4
3	1	10	71.5378	200	4
3	1	11	69.9492	200	4
3	1	12	69.0218	200	4
3	1	13	69.4587	200	4
3	1	14	68.2909	200	4
3	1	15	0	200	2
3	1	16	78	200	4
3	1	17	0	200	2
3	1	18	0	200	2
3	1	19	65.8355	200	4
3	1	20	71.5479	200	4
3	1	21	68.2102	200	4
3	1	22	72.1313	200	4
3	1	23	0	200	1
3	1	24	0	200	1
3	1	25	0	200	3
3	1	26	0	200	3
3	1	27	66.6202	200	4
3	1	28	63.3645	200	4
3	1	29	71.9715	200	4
3	1	30	73.5454	200	4
3	1	31	69.952	200	4
3	1	32	72.8752	200	4
3	1	33	67.6211	200	4
3	1	34	66.271	200	4
3	1	35	70.9955	200	4
3	1	36	60.1216	200	4
3	1	37	68.1219	200	4
3	1	38	70.3504	200	4
3	1	39	63.6809	200	4
3	1	40	63.6801	200	4
3	1	41	66.7657	200	4
3	1	42	82	200	4
3	1	43	70.4221	200	4
3	1	44	67.353	200	4
3	1	45	70.5061	200	4
3	1	46	66.431	200	4
3	1	47	70.5112	200	4
3	1	48	65.7356	200	4
3	1	49	0	200	1
3	1	50	0	200	1
3	1	51	0	200	1
3	1	52	0	200	1
3	1	53	0	200	1
3	1	54	0	200	1
3	1	55	70	200	4
3	1	56	66.277	200	4
3	1	57	0	200	1
3	1	58	0	200	1
3	1	59	73	200	4
3	1	60	0	200	4
3	1	61	0	200	1
3	1	62	0	200	1
3	1	63	0	200	1
3	1	64	0	200	1
3	1	65	73.5538	200	4
3	1	66	49.9582	200	4
3	1	67	0	200	2
3	1	68	0	200	2
3	1	69	63.7678	200	4
3	1	70	64.4448	200	4
3	1	71	61.7931	200	4
3	1	72	71.3069	200	4
3	1	73	66.5754	200	4
3	1	74	64.5426	200	4
3	1	75	67.1415	200	4
3	1	76	0	200	2
3	1	77	68.2754	200	4
3	1	78	57.7796	200	4
3	1	79	64.6071	200	4
3	1	80	70.2573	200	4
3	1	81	69.4269	200	4
3	1	82	71.718	200	4
3	1	83	68.2277	200	4
3	1	84	71.668	200	4
3	1	85	70.7675	200	4
3	1	86	64.5406	200	4
3	1	87	64.0541	200	4
3	1	88	58.913	200	4
3	2	1	0	200	2
3	2	2	0	200	2
3	2	3	0	200	1
3	2	4	0	200	1
3	2	5	72	200	4
3	2	6	0	200	1
3	2	7	70.1278	200	4
3	2	8	86.087	200	4
3	2	9	91	200	4
3	2	10	82.6192	200	4
3	2	11	74.9406	200	4
3	2	12	77.3856	200	4
3	2	13	0	200	2
3	2	14	76.7185	200	4
3	2	15	75.1583	200	4
3	2	16	68.4964	200	4
3	2	17	0	200	2
3	2	18	0	200	2
3	2	19	79.013	200	4
3	2	20	75.1778	200	4
3	2	21	78.7804	200	4
3	2	22	86.2549	200	4
3	2	23	0	200	1
3	2	24	0	200	1
3	2	25	70.9594	200	4
3	2	26	76.2297	200	4
3	2	27	82.444	200	4
3	2	28	90.9206	200	4
3	2	29	80.7344	200	4
3	2	30	82.246	200	4
3	2	31	85.6886	200	4
3	2	32	74.736	200	4
3	2	33	51.797	200	4
3	2	34	0	200	2
3	2	35	72.4923	200	4
3	2	36	60.7813	200	4
3	2	37	0	200	2
3	2	38	46.1201	200	4
3	2	39	71.5607	200	4
3	2	40	69.0746	200	4
3	2	41	62.5999	200	4
3	2	42	59.0564	200	4
3	2	43	51.1702	200	4
3	2	44	0	200	2
3	2	45	69.6872	200	4
3	2	46	54.8579	200	4
3	2	47	71.306	200	4
3	2	48	80.2963	200	4
3	2	49	0	200	1
3	2	50	0	200	1
3	2	51	0	200	1
3	2	52	0	200	1
3	2	53	0	200	1
3	2	54	0	200	1
3	2	55	55.2008	200	4
3	2	56	70.1808	200	4
3	2	57	0	200	1
3	2	58	0	200	1
3	2	59	71	200	4
3	2	60	70	200	4
3	2	61	73	200	4
3	2	62	70	200	4
3	2	63	0	200	1
3	2	64	0	200	1
3	2	65	71.7917	200	4
3	2	66	48.2829	200	4
3	2	67	0	200	2
3	2	68	0	200	2
3	2	69	69.8629	200	4
3	2	70	78.8936	200	4
3	2	71	74.5773	200	4
3	2	72	47	200	4
3	2	73	76.027	200	4
3	2	74	71.8008	200	4
3	2	75	62.2154	200	4
3	2	76	43.1208	200	4
3	2	77	61.1956	200	4
3	2	78	70.6709	200	4
3	2	79	75.4384	200	4
3	2	80	54.8997	200	4
3	2	81	67.0283	200	4
3	2	82	69.101	200	4
3	2	83	62.5286	200	4
3	2	84	67.8577	200	4
3	2	85	56.102	200	4
3	2	86	64.0451	200	4
3	2	87	67.0953	200	4
3	2	88	55.7818	200	4
3	3	1	0	200	2
3	3	2	0	200	2
3	3	3	96	200	4
3	3	4	0	200	3
3	3	5	76	200	4
3	3	6	115.029	200	4
3	3	7	94.854	200	4
3	3	8	97.6229	200	4
3	3	9	101	200	4
3	3	10	95.4631	200	4
3	3	11	92.78	200	4
3	3	12	106.672	200	4
3	3	13	93.4168	200	4
3	3	14	0	200	3
3	3	15	78.0131	200	4
3	3	16	103.171	200	4
3	3	17	0	200	2
3	3	18	0	200	2
3	3	19	103.259	200	4
3	3	20	101.568	200	4
3	3	21	82.8067	200	4
3	3	22	104.845	200	4
3	3	23	0	200	1
3	3	24	0	200	1
3	3	25	66.6907	200	4
3	3	26	89.2902	200	4
3	3	27	102.496	200	4
3	3	28	119.798	200	4
3	3	29	72.5497	200	4
3	3	30	101.345	200	4
3	3	31	90.7763	200	4
3	3	32	0	200	3
3	3	33	80.0428	200	4
3	3	34	81.4219	200	4
3	3	35	55.8461	200	4
3	3	36	90.3101	200	4
3	3	37	75.3277	200	4
3	3	38	79.7292	200	4
3	3	39	57.2871	200	4
3	3	40	91.5563	200	4
3	3	41	66.8812	200	4
3	3	42	79.7487	200	4
3	3	43	55.923	200	4
3	3	44	73.0083	200	4
3	3	45	84.0164	200	4
3	3	46	106.304	200	4
3	3	47	83.3011	200	4
3	3	48	94.9698	200	4
3	3	49	0	200	1
3	3	50	0	200	1
3	3	51	0	200	1
3	3	52	0	200	1
3	3	53	0	200	1
3	3	54	0	200	1
3	3	55	81.2346	200	4
3	3	56	94.031	200	4
3	3	57	0	200	1
3	3	58	115	200	4
3	3	59	83.1769	200	4
3	3	60	97	200	4
3	3	61	83	200	4
3	3	62	88	200	4
3	3	63	0	200	1
3	3	64	0	200	1
3	3	65	0	200	2
3	3	66	76.9751	200	4
3	3	67	0	200	2
3	3	68	0	200	2
3	3	69	71.9581	200	4
3	3	70	90.4813	200	4
3	3	71	72.4455	200	4
3	3	72	86.2472	200	4
3	3	73	78.0902	200	4
3	3	74	93.3422	200	4
3	3	75	0	200	2
3	3	76	96.6863	200	4
3	3	77	50.1845	200	4
3	3	78	81	200	4
3	3	79	62.7868	200	4
3	3	80	84.0221	200	4
3	3	81	70.9426	200	4
3	3	82	91.2751	200	4
3	3	83	91.0275	200	4
3	3	84	94.0811	200	4
3	3	85	83.2955	200	4
3	3	86	108.026	200	4
3	3	87	74.3491	200	4
3	3	88	100.59	200	4
