# STYX MC file
# NOTE that here the units are already mm and not ns!
# Module Layer Straw Radius Status
# (-Index slope position)
Event 	1
1	1	41	1.55308	4
1	1	59	1.98566	4
1	3	52	0.208568	4
1	3	56	1.92487	4
1	3	83	0.308149	4
2	1	69	0.988615	2
2	1	75	0.273434	2
2	2	44	2.23072	4
2	2	68	1.40373	2
2	2	75	3.33943	2
2	2	87	1.64083	2
2	3	14	2.47848	2
2	3	37	2.81442	4
2	3	41	0.0966861	2
2	3	63	2.26408	4
2	3	66	0.798187	2
2	3	78	0.169515	2
2	3	79	2.87629	2
3	1	12	0.708076	4
3	1	34	1.30317	4
3	1	48	3.74173	4
3	2	81	0.239419	4
3	3	63	0.856726	4
3	3	69	2.05405	4
-1	-0.155758	149.397
1	1	20	9.46366	4
1	2	19	38.8348	2
1	3	20	43.4426	4
2	1	18	33.7262	4
2	2	18	49.1511	2
2	3	18	0.387238	4
3	1	17	49.8442	4
3	2	16	1.40896	4
3	3	16	44.054	4
-2	-0.434655	123.63
1	1	17	14.5067	4
1	2	16	-0.048745	4
1	3	16	18.9298	4
2	1	12	26.4867	4
2	2	11	39.5547	4
2	3	11	54.156	4
3	1	8	44.5122	4
3	2	7	31.3827	4
3	3	7	17.0542	4
-3	0.0749889	392.571
1	1	51	25.8332	4
1	2	51	34.067	4
1	3	51	40.8148	4
2	1	52	-1.35352	4
2	2	52	58.6601	4
2	3	52	17.825	4
3	1	53	30.2284	4
3	2	52	44.8522	4
3	3	53	13.1147	4
Event 	2
1	1	3	2.00079	4
1	1	36	0.974548	4
1	1	70	2.67704	4
1	2	15	1.24741	4
1	2	25	0.57911	4
1	2	59	2.48748	4
2	1	21	1.36338	4
2	1	35	0.514808	2
2	1	81	3.25732	2
2	2	4	3.50135	4
2	2	18	1.30476	2
2	2	26	2.55699	4
2	2	47	1.35016	2
2	2	77	1.16188	2
2	3	52	1.33499	4
2	3	53	0.326398	4
3	1	80	0.812724	4
3	2	23	1.28351	2
3	2	33	0.700306	4
3	2	60	0.38255	4
3	2	63	3.37506	4
3	3	81	2.81715	4
-1	-0.34221	101.265
1	1	14	17.9568	4
1	2	13	10.1998	4
1	3	13	35.3731	4
2	1	10	24.3885	4
2	2	9	47.1163	4
2	3	10	50.8797	4
3	1	7	52.2973	2
3	2	6	29.0158	4
3	3	6	0.021881	2
-2	0.0740169	433.004
1	1	56	47.4422	4
1	2	56	9.94859	4
2	1	57	23.6615	2
2	2	57	36.1409	4
2	3	57	38.6013	4
3	1	58	7.59647	4
3	3	58	10.3649	2
-3	0.617038	87.4132
1	1	11	33.1112	2
1	2	11	36.429	4
1	3	12	39.7797	2
2	1	18	6.28215	4
2	2	18	0.741852	2
2	3	19	-1.09226	4
3	1	24	48.7013	4
3	1	25	64.4517	4
3	2	24	52.7442	2
3	2	25	59.372	4
3	3	25	57.1522	4
3	3	26	54.7667	4
Event 	3
1	1	39	2.19726	4
1	1	40	0.96657	4
1	1	51	0.825455	4
1	2	5	1.42584	4
1	2	43	1.61345	4
1	2	54	0.991174	4
1	2	68	0.278788	4
1	3	6	2.15341	4
1	3	35	2.25525	4
1	3	36	0.855928	2
1	3	53	1.84777	4
1	3	67	2.56077	4
1	3	83	1.0511	4
2	2	2	0.402112	2
2	2	9	0.273511	4
2	2	46	2.35091	2
2	3	12	0.765475	2
2	3	16	2.3668	4
2	3	18	3.6161	4
2	3	42	1.5265	4
2	3	70	3.17531	2
2	3	88	1.49006	2
3	1	31	3.14381	4
3	1	57	2.4107	4
3	2	13	1.29885	2
3	2	29	0.141579	4
3	2	36	2.69613	4
3	2	49	0.0394953	4
3	3	55	2.2142	4
3	3	72	0.786333	4
-1	-0.366325	248.743
1	1	33	9.43844	4
1	2	32	15.5558	4
1	3	32	36.8451	4
2	1	29	1.1897	2
2	2	28	21.8526	2
2	3	28	42.0707	2
3	1	25	16.6603	4
3	2	24	37.6997	2
3	3	24	60.8431	2
3	3	25	65.731	4
-2	-0.527357	165.557
1	1	22	43.4955	4
1	2	21	48.3302	4
1	3	21	53.6515	4
1	3	22	64.0909	4
2	1	17	36.761	4
2	2	16	32.4137	4
2	3	16	27.9688	4
3	1	11	17.6572	4
3	2	10	22.8417	4
3	3	10	27.5809	2
-3	-0.406688	0.988994
1	1	1	2.41735	2
Event 	4
1	1	21	3.60517	4
1	1	40	1.30018	4
1	1	69	1.02662	4
1	2	22	2.50224	4
1	3	40	2.56919	4
1	3	71	2.46069	4
2	2	7	1.2645	4
2	3	19	3.25474	4
2	3	35	3.28216	4
2	3	37	1.44102	4
2	3	88	2.99799	2
3	1	4	0.207867	4
3	1	26	1.13263	4
3	1	87	3.69072	4
3	2	88	0.579349	4
3	3	14	0.0039883	4
3	3	78	3.40811	4
-1	-0.623531	620.527
1	1	81	24.534	4
1	2	80	20.1193	4
1	3	80	15.2838	4
2	1	74	52.6041	2
2	1	75	59.1262	2
2	2	73	47.9546	2
2	2	74	65.0389	2
2	3	73	43.6784	2
3	1	68	11.1647	4
3	2	67	16.4044	4
3	3	67	21.1362	4
-2	0.367948	297.698
1	1	39	39.6511	4
1	2	38	62.8084	4
1	2	39	63.5641	4
1	3	39	39.161	4
2	1	43	43.032	2
2	2	42	57.9797	4
2	3	43	35.889	4
3	1	47	59.4887	2
3	2	46	41.925	2
3	3	47	21.8765	4
-3	-0.524793	14.1483
1	1	3	27.9311	4
1	2	2	22.9617	2
1	3	2	17.5038	2
Event 	5
1	1	55	1.95931	4
1	1	57	2.26356	4
1	1	88	2.56306	4
1	2	19	2.10508	2
1	2	28	1.50063	2
1	2	50	2.39117	4
1	3	62	3.3995	4
2	1	7	1.90636	4
2	1	18	0.964151	4
2	2	6	2.53752	4
2	3	78	1.7335	2
3	1	1	2.93468	2
3	1	47	2.22733	2
3	1	63	0.381822	4
3	2	16	0.113919	4
3	2	44	2.8929	4
3	2	61	1.16131	2
3	2	64	3.4519	4
3	2	88	0.625538	4
3	3	7	3.38456	4
3	3	27	1.10365	4
3	3	53	2.02063	4
3	3	61	0.27439	2
3	3	66	2.75607	4
3	3	71	0.750874	4
-1	-0.0243458	422.35
1	1	55	10.8956	4
1	2	55	59.1488	4
1	3	55	3.45878	4
2	1	55	26.5225	4
2	2	54	38.5333	4
2	3	55	31.4761	4
3	1	55	58.8072	2
3	2	54	3.85222	4
-2	0.0676076	418.075
1	1	54	55.4458	4
1	2	54	0.549709	4
1	3	55	61.3279	4
2	1	55	22.1189	4
2	2	55	38.1591	4
2	3	55	35.9793	4
3	1	56	19.8485	4
3	2	55	55.4158	4
3	3	56	0.589845	4
-3	0.63902	271.859
1	1	35	8.04206	4
1	2	35	15.2979	4
1	3	36	21.612	2
2	1	42	3.07804	4
2	2	42	-0.316518	4
2	3	43	8.13488	4
3	1	49	34.9205	4
3	2	49	29.7747	4
3	3	50	24.3559	4
Event 	6
1	1	62	0.563623	4
1	1	81	1.40039	4
1	2	7	2.48961	4
1	2	10	2.91831	4
1	2	12	0.0963532	4
1	2	24	3.07982	4
1	2	84	2.03947	4
1	3	31	1.87227	4
1	3	39	0.625819	4
1	3	55	0.599253	4
2	1	3	3.36682	4
2	1	24	0.86569	4
2	1	87	2.16519	2
2	2	28	1.41514	2
2	2	32	0.451202	2
2	2	79	1.66707	2
2	3	35	1.50257	4
2	3	47	0.497335	2
2	3	56	1.07225	4
2	3	62	1.48262	4
3	1	4	0.694717	4
3	1	40	2.21725	4
3	1	56	3.39775	4
3	3	29	3.08384	4
3	3	71	0.471125	4
-1	-0.970533	79.8167
1	1	12	31.6341	4
1	2	10	32.9563	4
1	2	11	64.2544	4
1	3	10	-2.80057	4
2	1	1	21.7391	2
-2	0.0644612	309.59
1	1	40	54.1889	4
1	2	40	2.74108	4
1	3	41	63.789	4
2	1	41	16.2727	4
2	2	41	43.4532	4
2	3	41	30.5442	2
3	1	42	29.2976	4
3	2	41	44.767	4
3	3	42	14.6728	4
-3	-0.24414	489.29
1	1	64	14.3476	4
1	2	63	26.0305	4
1	3	63	62.1873	4
2	1	61	34.7995	4
2	2	61	57.0274	4
2	3	61	22.1069	4
3	1	59	39.0291	4
3	2	58	-0.000249658	4
3	3	58	35.5048	2
Event 	7
1	1	80	2.14324	4
1	2	14	2.0764	4
1	2	26	1.41484	4
1	2	69	3.73304	4
1	2	81	0.307392	4
1	2	87	1.50752	4
1	3	14	2.45757	4
2	1	7	2.83344	4
2	1	12	0.446836	4
2	1	37	0.729524	4
2	1	43	0.3063	2
2	1	60	2.65891	4
2	1	62	0.126279	4
2	2	65	1.57995	2
2	2	84	1.61658	2
2	3	32	0.68862	2
2	3	63	2.59487	4
2	3	81	1.14464	2
3	1	5	3.03065	4
3	1	8	0.342497	4
3	1	57	0.830753	4
3	2	11	1.29646	4
3	2	48	1.03189	4
3	3	56	3.03966	4
3	3	60	2.9249	4
3	3	76	3.04417	4
-1	0.439534	73.754
1	1	10	41.8736	4
1	2	10	56.5472	4
1	3	10	48.9728	4
2	1	14	46.6352	2
2	2	14	33.7764	4
2	3	15	20.5467	4
3	1	19	0.611184	4
3	2	19	13.374	4
3	3	20	28.0491	4
-2	0.6202	222.113
1	1	29	37.336	4
1	2	29	33.7572	4
1	3	30	30.147	4
2	1	35	40.2171	2
2	2	35	43.9728	2
2	3	36	47.9571	2
2	3	37	65.2689	4
3	1	42	13.7083	4
3	2	42	8.5651	4
3	3	43	2.83554	2
-3	0.350103	541.736
1	1	70	29.424	4
1	2	70	2.08546	4
1	3	71	23.0955	4
2	1	74	-2.95595	2
2	2	74	26.1883	2
2	3	75	48.1116	2
3	1	78	38.9043	4
3	2	77	62.1501	4
3	2	78	65.2215	4
3	3	78	36.9517	4
Event 	8
1	1	19	0.342056	4
1	1	20	0.682865	4
1	1	62	2.91257	4
1	1	68	2.68219	4
1	2	7	3.41893	4
1	2	52	2.11676	4
1	2	62	3.3639	4
1	2	67	2.45695	4
1	2	69	1.89343	4
1	3	51	2.70621	4
1	3	81	1.74721	4
1	3	86	3.27749	4
2	1	81	0.407114	2
2	3	3	3.20501	4
2	3	16	1.08406	4
2	3	27	2.69943	2
2	3	41	1.17463	2
2	3	87	2.10136	2
3	1	31	1.61228	4
3	1	68	3.53877	4
3	1	70	3.4385	4
3	2	24	3.32597	2
3	2	76	2.48644	4
3	2	82	2.72258	4
3	3	9	0.0567724	2
3	3	40	1.42088	4
-1	-0.688672	287.528
1	1	38	26.8777	4
1	2	37	16.4047	2
1	3	37	3.14088	4
2	1	31	23.5667	2
2	2	30	33.0079	2
2	3	30	42.1265	4
3	1	23	60.365	4
3	1	24	48.1543	4
3	2	22	48.5428	4
3	2	23	59.8709	2
3	3	22	38.8428	4
-2	-0.269255	189.609
1	1	25	27.017	4
1	2	24	59.707	4
1	3	25	34.83	4
2	1	22	37.6052	2
2	2	22	55.8048	4
2	3	22	24.0089	4
3	1	19	58.6338	4
3	2	19	35.5698	4
3	3	19	-1.56509	4
-3	0.194192	107.895
1	1	14	35.4626	4
1	2	14	8.53837	4
1	3	15	50.3487	4
2	1	16	46.4865	4
2	2	16	3.24582	4
2	3	17	38.7942	4
3	1	18	52.4117	4
3	2	18	11.0091	2
3	3	19	33.7929	4
Event 	9
1	1	69	1.14364	4
1	2	10	1.32833	4
1	2	27	0.0541275	4
1	3	78	1.33052	4
2	1	38	0.465387	2
2	2	37	3.48359	4
2	2	63	2.03372	4
2	2	67	0.204203	2
2	2	76	0.9945	2
2	2	87	3.2864	2
2	3	40	1.91098	4
2	3	49	1.62046	4
3	1	3	0.757658	4
3	1	58	3.06356	4
3	1	67	0.888417	4
3	1	85	2.17681	4
3	3	11	2.71009	4
3	3	29	1.87527	4
3	3	64	1.94704	4
-1	0.103021	159.204
1	1	21	-0.384512	4
1	2	21	51.4715	4
1	3	21	26.9759	4
2	1	22	18.3465	2
2	2	22	37.7058	4
2	3	22	39.7324	4
3	1	23	29.0724	4
3	2	23	28.0339	2
3	3	23	50.2446	2
-2	0.308142	547.503
1	1	71	8.89356	4
1	2	71	37.9182	4
1	3	71	59.3281	4
2	1	74	33.431	2
2	2	74	1.65873	2
2	3	75	27.9285	2
3	1	77	65.2091	4
3	1	78	64.2709	4
3	2	77	34.6773	4
3	3	78	3.77372	4
-3	0.204525	26.3431
1	1	4	36.5613	2
1	2	3	50.6553	4
1	3	4	10.5008	4
2	1	6	10.3477	4
2	2	6	50.5277	4
2	3	6	36.6663	4
3	1	8	11.4279	4
3	2	8	32.43	4
3	3	8	55.9566	4
Event 	10
1	1	17	0.232186	4
1	1	53	2.66744	4
1	1	65	1.92256	4
1	2	30	2.20197	2
1	2	32	3.42346	4
1	2	36	1.22673	2
1	2	58	1.27627	2
1	2	63	1.42515	4
1	3	62	3.57251	4
1	3	84	2.61343	2
2	1	57	2.66668	2
2	1	72	0.176647	2
2	1	76	1.56028	2
2	2	4	1.51022	4
2	2	14	2.48994	4
2	2	48	0.0301148	2
2	2	70	2.87851	2
2	2	87	0.887696	2
2	3	11	3.55819	4
2	3	17	2.01485	4
2	3	35	2.70105	4
3	1	57	1.09777	4
3	1	62	3.02024	4
3	2	63	0.808542	4
3	3	8	2.44419	4
-1	-0.384952	211.952
1	1	28	26.0872	4
1	2	27	44.1731	4
1	3	28	57.989	4
2	1	24	4.93917	4
2	2	23	27.6317	2
2	3	23	45.7632	2
3	1	20	-1.35314	4
3	2	19	21.3865	4
3	3	19	39.7656	4
-2	0.968224	532.046
1	1	68	35.3242	4
1	1	69	60.7319	4
1	2	69	29.4507	4
1	3	70	3.1039	4
2	1	79	19.8478	2
2	2	79	15.9844	2
2	3	80	45.6566	2
2	3	81	47.714	2
-3	0.94132	676.145
1	1	87	2.87599	4
1	2	87	34.9034	4
1	2	88	63.0653	4
Event 	11
1	1	18	0.828299	4
1	1	20	2.31491	4
1	1	24	1.36394	4
1	1	33	0.562672	4
1	1	35	0.74832	4
1	1	77	2.49443	4
1	2	17	0.0958335	4
1	2	41	2.6264	4
1	3	33	0.00170997	4
1	3	35	0.188256	4
1	3	75	1.99202	4
2	1	43	3.00058	2
2	1	44	1.02789	4
2	1	66	0.945532	2
2	1	83	1.1002	2
2	3	9	3.48914	4
2	3	20	3.0856	4
2	3	29	3.33514	4
2	3	47	1.07315	2
2	3	51	1.46042	4
2	3	63	2.21796	4
2	3	68	1.94992	2
3	1	14	0.764649	4
3	1	21	2.42464	4
3	1	29	1.00407	4
3	3	78	0.269609	4
3	3	82	3.22008	4
-1	-0.283922	473.772
1	1	62	2.69012	4
1	2	61	29.8489	4
1	3	61	61.5322	4
2	1	59	13.2039	4
2	2	58	22.4497	4
2	3	58	52.0597	4
3	1	56	11.6156	4
3	2	55	23.7311	4
3	3	55	53.4997	4
-2	-0.489079	287.133
1	1	38	-1.37283	4
1	2	37	11.2463	2
1	3	37	21.3102	4
2	1	33	32.6141	2
2	2	32	24.4841	2
2	3	32	15.1039	2
3	1	28	48.6055	4
3	2	27	40.1385	4
3	3	27	32.3045	4
-3	-0.251837	474.827
1	1	62	13.7017	4
1	2	61	47.582	4
1	3	62	43.0657	4
2	1	59	47.7399	4
2	2	59	42.9197	4
2	3	59	7.54875	4
3	1	57	35.4708	4
3	2	56	-1.36434	4
3	3	56	37.4669	4
Event 	12
1	1	37	2.38288	4
1	1	74	1.77798	4
1	2	3	2.57779	4
1	2	8	1.41956	4
1	2	28	3.12756	2
1	2	34	2.16756	4
1	3	77	1.02168	4
1	3	81	3.33618	4
2	1	12	0.67943	4
2	1	77	0.95884	2
2	2	16	1.66398	4
2	2	38	1.21876	4
2	2	43	2.71816	4
2	2	50	2.07367	4
2	2	71	2.19665	2
2	3	10	2.71275	4
2	3	15	0.16827	4
2	3	49	1.21096	4
2	3	75	2.58405	2
3	1	3	1.80134	4
3	1	28	2.97588	4
3	1	51	2.37115	4
3	1	84	1.22787	4
3	2	39	2.99946	4
