#Dispersion spectrum for magnitude shift -1
#Columns: (time delay) (dispersion function, measured) (dispersion function, fit)


10 0.018241 0.0183283
10.8 0.0182598 0.0183294
11.6 0.0183387 0.0183313
12.4 0.018267 0.018334
13.2 0.0182822 0.0183377
14 0.0183014 0.0183422
14.8 0.0183317 0.0183476
15.6 0.0183851 0.0183538
16.4 0.0183722 0.0183609
17.2 0.0184503 0.0183689
18 0.0184609 0.0183778
18.8 0.0184748 0.0183875
19.6 0.0184714 0.0183981
20.4 0.0184589 0.0184095
21.2 0.0185276 0.0184218
22 0.0185263 0.018435
22.8 0.0185241 0.0184491
23.6 0.0185311 0.018464
24.4 0.0185181 0.0184798
25.2 0.0185388 0.0184965
26 0.0184556 0.018514
26.8 0.018459 0.0185324
27.6 0.0185267 0.0185517
28.4 0.018412 0.0185718
29.2 0.0184382 0.0185928
30 0.018449 0.0186147
30.8 0.0184543 0.0186374
31.6 0.0187803 0.018661
32.4 0.0188249 0.0186855
33.2 0.0187495 0.0187109
34 0.0188232 0.0187371
34.8 0.0188415 0.0187642
35.6 0.0188098 0.0187921
36.4 0.018804 0.0188209
37.2 0.0188768 0.0188506
38 0.0188905 0.0188812
38.8 0.0189058 0.0189126
39.6 0.0188913 0.0189449
40.4 0.0189138 0.018978
41.2 0.0189149 0.0190121
42 0.0189876 0.019047
42.8 0.0189893 0.0190827
43.6 0.0189587 0.0191194
44.4 0.0190031 0.0191569
45.2 0.0193586 0.0191952
46 0.0193691 0.0192345
46.8 0.0193632 0.0192746
47.6 0.0193886 0.0193155
48.4 0.0194103 0.0193574
49.2 0.0193912 0.0194001
