3133.41200     0.27300     0.00600     2.24400     0.01600
3134.36200     0.29100     0.00200     2.24100     0.01100
3135.38500     0.28200     0.00400     2.26800     0.01200
3142.38600     0.28700     0.00200     2.27300     0.00700
3146.41500     0.27600     0.00100     2.26400     0.00600
3150.40600     0.26400     0.00100     2.30000     0.00600
3152.36700     0.27900     0.00400     2.23100     0.01100
3154.40700     0.26700     0.00200     2.25200     0.00700
3159.36400     0.25300     0.00300     2.25400     0.01800
3163.31500     0.24900     0.00200     2.30100     0.01000
3166.42500     0.24800     0.00200     2.24400     0.00800
3169.39300     0.22200     0.00300     2.31700     0.01100
3171.43000     0.23400     0.00200     2.28400     0.00800
3173.29800     0.23300     0.00100     2.27500     0.00600
3175.30000     0.23000     0.00100     2.27900     0.00600
3189.26500     0.20800     0.00700     2.23600     0.02300
3191.36000     0.21500     0.00300     2.25500     0.01800
3193.30400     0.19400     0.00600     2.24600     0.01800
3195.25200     0.21700     0.00200     2.23900     0.00700
3209.25600     0.18900     0.00300     2.19800     0.01000
3213.25600     0.16600     0.00300     2.19000     0.01000
3216.31000     0.14900     0.00600     2.18900     0.01800
3219.28100     0.15100     0.00400     2.19800     0.01800
3221.23400     0.17800     0.00200     2.24100     0.00900
3224.20900     0.14000     0.00500     2.22800     0.01500
3232.18700     0.21500     0.00300     2.19800     0.00900
3246.16300     0.13300     0.01300     2.14800     0.03500
3254.12500     0.15600     0.00400     2.13900     0.01300
3256.13500     0.18800     0.00100     2.18100     0.00500
3261.11500     0.20300     0.01100     2.15300     0.02900
3271.10900     0.19100     0.00500     2.16700     0.01400
3273.10300     0.16300     0.00700     2.11700     0.02000
3277.10400     0.19000     0.00400     2.17900     0.01400
3281.10600     0.14600     0.00600     2.15100     0.01600
3283.10000     0.14600     0.00400     2.12900     0.01200
3430.54000     0.16700     0.00200     2.07800     0.00900
3434.54600     0.17500     0.00700     2.08800     0.01900
3461.49900     0.16600     0.00300     2.13800     0.00900
3475.49100     0.17500     0.00400     2.12000     0.01200
3482.44300     0.17700     0.00200     2.12400     0.01100
3500.41500     0.20600     0.00400     2.14700     0.01100
3507.34800     0.17700     0.00500     2.10600     0.01200
3511.30300     0.17200     0.00700     2.15300     0.01800
3517.38300     0.16300     0.00400     2.14600     0.01200
3524.39100     0.19400     0.00200     2.11800     0.00600
3540.34500     0.19400     0.00300     2.12400     0.01100
3542.32300     0.17200     0.00700     2.13200     0.02000
3552.29100     0.20100     0.00100     2.14900     0.00500
3556.29500     0.20400     0.00300     2.18500     0.00800
3559.28000     0.18100     0.00200     2.13400     0.00700
3570.24700     0.19200     0.00500     2.09400     0.01500
3575.32300     0.19800     0.01000     2.08400     0.02600
3576.26400     0.21100     0.00100     2.19500     0.00800
3578.27500     0.18900     0.00200     2.13300     0.00700
3581.28400     0.19000     0.00500     2.17600     0.01200
3611.22500     0.18800     0.00300     2.16100     0.00800
3613.20100     0.17500     0.00700     2.15600     0.01800
